timestamp,elapsed_seconds,orientation,orientation_confidence,swipe_direction,is_ghost_frame,notes
2026-03-02T20:09:28,46.641,palm,0.139,LEFT,False,Movement validated
2026-03-02T20:09:34,53.41,palm,0.009,RIGHT,False,Movement validated
2026-03-02T20:09:36,55.255,palm,0.164,RIGHT,False,Movement validated
2026-03-02T20:09:43,61.842,palm,0.256,LEFT,False,Movement validated
2026-03-02T20:09:47,66.115,palm,0.009,LEFT,False,Movement validated
2026-03-02T20:09:49,68.13,palm,0.312,RIGHT,False,Movement validated
2026-03-02T20:09:57,76.052,palm,0.115,RIGHT,False,Movement validated
