timestamp,event_type,hand_detected,orientation,confidence,gesture_type,is_ghost_frame,notes
1776147009.082611,SESSION_START,False,,0.00,,False,det=0.3 trk=0.3
1776147012.1331177,LOCK_SET,True,,0.00,,False,"wrist=(0.589,0.856)"
1776147012.639639,ERASE_GESTURE,True,,0.00,,False,
1776147012.6793013,LASER_FRAME,True,palm,0.04,LASER,False,
1776147012.7491305,LASER_FRAME,True,palm,0.03,LASER,False,
1776147012.7859895,LASER_FRAME,True,palm,0.03,LASER,False,
1776147012.8307233,LASER_FRAME,True,palm,0.03,LASER,False,
1776147012.8772275,LASER_FRAME,True,palm,0.03,LASER,False,
1776147012.9608452,GHOST_START,True,,0.00,,False,frames_left=9
1776147013.0466194,GHOST_END,True,,0.00,,False,
1776147013.0468273,LASER_FRAME,True,palm,0.34,LASER,False,
1776147013.9725878,LASER_FRAME,True,palm,0.40,LASER,False,
1776147014.0095596,LASER_FRAME,True,palm,0.39,LASER,False,
1776147014.0441182,LASER_FRAME,True,palm,0.39,LASER,False,
1776147014.111378,LASER_FRAME,True,palm,0.39,LASER,False,
1776147014.1582565,LASER_FRAME,True,palm,0.40,LASER,False,
1776147014.2088048,LASER_FRAME,True,palm,0.39,LASER,False,
1776147014.2456222,LASER_FRAME,True,palm,0.39,LASER,False,
1776147014.304895,LASER_FRAME,True,palm,0.38,LASER,False,
1776147014.3453517,LASER_FRAME,True,palm,0.38,LASER,False,
1776147014.3958802,LASER_FRAME,True,palm,0.39,LASER,False,
1776147014.4574738,LASER_FRAME,True,palm,0.39,LASER,False,
1776147014.4934316,LASER_FRAME,True,palm,0.39,LASER,False,
1776147014.5369556,LASER_FRAME,True,palm,0.39,LASER,False,
1776147014.5988376,LASER_FRAME,True,palm,0.40,LASER,False,
1776147014.6373734,LASER_FRAME,True,palm,0.40,LASER,False,
1776147014.6785314,LASER_FRAME,True,palm,0.40,LASER,False,
1776147014.7070477,LASER_FRAME,True,palm,0.40,LASER,False,
1776147014.7736793,LASER_FRAME,True,palm,0.39,LASER,False,
1776147014.8209655,LASER_FRAME,True,palm,0.40,LASER,False,
1776147016.5427706,GHOST_START,True,,0.00,,False,frames_left=9
1776147016.62379,GHOST_END,True,,0.00,,False,
1776147017.1782472,GHOST_START,True,,0.00,,False,frames_left=9
1776147017.2708662,GHOST_END,True,,0.00,,False,
1776147017.2713401,ERASE_GESTURE,True,,0.00,,False,
1776147017.314669,LASER_FRAME,True,palm,0.11,LASER,False,
1776147018.2702346,SWIPE_RIGHT,True,palm,0.24,SWIPE,False,
1776147019.5235636,SWIPE_RIGHT,True,palm,0.51,SWIPE,False,
1776147019.8907847,LASER_FRAME,True,back-hand,0.52,LASER,False,
1776147019.9481595,LASER_FRAME,True,back-hand,0.53,LASER,False,
1776147019.990312,LASER_FRAME,True,back-hand,0.51,LASER,False,
1776147020.2171757,SWIPE_RIGHT,True,back-hand,0.32,SWIPE,False,
1776147021.9481423,ERASE_GESTURE,True,,0.00,,False,
1776147022.5012054,LASER_FRAME,True,back-hand,0.30,LASER,False,
1776147022.536503,LASER_FRAME,True,back-hand,0.27,LASER,False,
1776147022.571777,LASER_FRAME,True,back-hand,0.29,LASER,False,
1776147022.6349096,LASER_FRAME,True,back-hand,0.30,LASER,False,
1776147022.6689003,LASER_FRAME,True,back-hand,0.30,LASER,False,
1776147022.7240245,LASER_FRAME,True,back-hand,0.32,LASER,False,
1776147022.7620957,LASER_FRAME,True,back-hand,0.33,LASER,False,
1776147022.7939203,LASER_FRAME,True,back-hand,0.34,LASER,False,
1776147022.8408806,LASER_FRAME,True,back-hand,0.33,LASER,False,
1776147025.592249,LASER_FRAME,True,back-hand,0.45,LASER,False,
1776147025.6397095,LASER_FRAME,True,back-hand,0.43,LASER,False,
1776147025.6911714,LASER_FRAME,True,back-hand,0.43,LASER,False,
1776147025.75752,LASER_FRAME,True,back-hand,0.43,LASER,False,
1776147025.7986138,LASER_FRAME,True,back-hand,0.40,LASER,False,
1776147025.890658,GHOST_START,True,,0.00,,False,frames_left=9
1776147026.0298507,GHOST_END,True,,0.00,,False,
