timestamp,elapsed_seconds,orientation,orientation_confidence,swipe_direction,is_ghost_frame,notes
2026-03-11T20:09:51,65.578,palm,0.26,RIGHT,False,
2026-03-11T20:09:54,68.631,palm,0.339,RIGHT,False,
2026-03-11T20:09:56,70.63,palm,0.374,LEFT,False,
2026-03-11T20:09:57,72.317,palm,0.259,LEFT,False,
2026-03-11T20:10:03,77.666,palm,0.29,RIGHT,False,
2026-03-11T20:10:07,81.606,palm,0.367,LEFT,False,
2026-03-11T20:10:11,86.221,back-hand,0.375,LEFT,False,
2026-03-11T20:10:13,87.862,back-hand,0.161,LEFT,False,
2026-03-11T20:10:15,90.292,back-hand,0.274,LEFT,False,
2026-03-11T20:10:19,94.037,back-hand,0.289,RIGHT,False,
2026-03-11T20:10:23,98.112,back-hand,0.26,RIGHT,False,
2026-03-11T20:10:26,100.818,back-hand,0.405,LEFT,False,
2026-03-11T20:10:31,106.286,back-hand,0.228,LEFT,False,
2026-03-11T20:10:40,114.811,back-hand,0.283,LEFT,False,
2026-03-11T20:10:50,125.05,back-hand,0.179,LEFT,False,
2026-03-11T20:10:58,133.484,palm,0.328,RIGHT,False,
2026-03-11T20:11:01,135.994,palm,0.272,RIGHT,False,
2026-03-11T20:11:02,137.439,palm,0.238,RIGHT,False,
2026-03-11T20:11:04,138.944,palm,0.274,RIGHT,False,
2026-03-11T20:11:09,144.22,palm,0.181,RIGHT,False,
2026-03-11T20:11:11,145.872,palm,0.205,RIGHT,False,
2026-03-11T20:11:13,147.641,palm,0.222,RIGHT,False,
2026-03-11T20:11:20,154.932,palm,0.301,LEFT,False,
2026-03-11T20:11:29,164.241,palm,0.214,RIGHT,False,
2026-03-11T20:11:35,169.558,back-hand,0.236,LEFT,False,
2026-03-11T20:11:40,175.46,back-hand,0.363,LEFT,False,
2026-03-11T20:11:45,179.843,back-hand,0.3,RIGHT,False,
2026-03-11T20:11:49,184.03,palm,0.345,LEFT,False,
2026-03-11T20:11:57,192.179,palm,0.202,RIGHT,False,
2026-03-11T20:11:59,193.985,palm,0.121,RIGHT,False,
2026-03-11T20:13:12,267.328,palm,0.01,RIGHT,False,
2026-03-11T20:13:17,271.84,palm,0.026,RIGHT,False,
2026-03-11T20:13:19,273.765,palm,0.033,RIGHT,False,
2026-03-11T20:13:30,285.22,palm,0.196,RIGHT,False,
2026-03-11T20:14:16,330.92,palm,0.031,LEFT,False,
2026-03-11T20:14:23,337.765,palm,0.01,LEFT,False,
2026-03-11T20:14:30,344.956,palm,0.014,LEFT,False,
2026-03-11T20:16:05,440.23,back-hand,0.5,LEFT,False,
2026-03-11T20:16:40,475.482,palm,0.406,LEFT,False,
2026-03-11T20:16:46,480.643,palm,0.348,LEFT,False,
2026-03-11T20:17:08,503.025,palm,0.186,RIGHT,False,
2026-03-11T20:17:10,505.489,palm,0.268,RIGHT,False,
2026-03-11T20:17:12,506.895,palm,0.408,LEFT,False,
2026-03-11T20:17:14,508.99,palm,0.251,RIGHT,False,
