timestamp,elapsed_s,event_type,pose,detection_conf,is_ghost_frame,wrist_x,wrist_y,notes
2026-02-24T10:43:32,0.002,SESSION_START,,0.0,False,,,det_conf=0.3 track_conf=0.3
2026-02-24T10:43:34,1.273,LOCK_SET,,0.3,False,0.5064,1.0174,Hand lock reference established
2026-02-24T10:43:34,1.4,LASER_START,LASER,0.3,False,0.546,1.0137,
2026-02-24T10:43:49,16.625,LASER_START,LASER,0.3,False,0.4707,0.7304,
2026-02-24T10:43:49,16.68,LASER_END,NONE,0.3,False,0.4614,0.7503,
2026-02-24T10:43:53,20.813,GHOST_START,,0.3,False,0.2455,0.7951,
2026-02-24T10:43:54,21.231,DROPOUT,,0.3,False,,,Hand lost beyond ghost window
2026-02-24T10:43:59,26.315,LOCK_RESET,,0.3,False,,,Manual reset via R key
2026-02-24T10:44:01,28.514,LOCK_SET,,0.3,False,0.6982,0.6568,Hand lock reference established
2026-02-24T10:44:01,28.573,GHOST_START,,0.3,False,0.6982,0.6568,
2026-02-24T10:44:02,29.853,GHOST_END,,0.3,False,0.3701,0.7704,
2026-02-24T10:44:03,31.132,LASER_START,LASER,0.3,False,0.4393,0.7977,
2026-02-24T10:44:03,31.18,LASER_END,NONE,0.3,False,0.4687,0.8485,
2026-02-24T10:44:04,31.324,GHOST_START,,0.3,False,0.4937,0.9454,
2026-02-24T10:44:04,31.747,DROPOUT,,0.3,False,,,Hand lost beyond ghost window
2026-02-24T10:44:06,33.662,SWIPE_LEFT,SWIPE,0.3,False,0.438,0.9663,
2026-02-24T10:44:07,34.875,SWIPE_LEFT,SWIPE,0.3,False,0.4148,0.9505,
2026-02-24T10:44:08,35.736,SWIPE_RIGHT,SWIPE,0.3,False,0.4015,0.9196,
2026-02-24T10:44:09,36.637,SWIPE_RIGHT,SWIPE,0.3,False,0.3832,0.964,
2026-02-24T10:44:10,37.296,SWIPE_LEFT,SWIPE,0.3,False,0.2493,0.9876,
2026-02-24T10:44:10,37.65,SWIPE_LEFT,SWIPE,0.3,False,0.1472,0.9827,
2026-02-24T10:44:10,37.82,GHOST_START,,0.3,False,0.0924,0.8436,
2026-02-24T10:44:10,38.202,GHOST_END,,0.3,False,0.042,0.8803,
2026-02-24T10:44:11,38.323,GHOST_START,,0.3,False,0.0543,0.8244,
2026-02-24T10:44:11,38.792,DROPOUT,,0.3,False,,,Hand lost beyond ghost window
2026-02-24T10:44:18,45.634,SWIPE_LEFT,SWIPE,0.3,False,0.301,0.7672,
2026-02-24T10:44:20,47.755,GHOST_START,,0.3,False,0.2601,0.7514,
2026-02-24T10:44:20,48.196,DROPOUT,,0.3,False,,,Hand lost beyond ghost window
2026-02-24T10:44:24,51.667,LASER_START,LASER,0.3,False,-0.0278,0.7894,
2026-02-24T10:44:24,51.734,GHOST_START,,0.3,False,-0.0278,0.7894,
2026-02-24T10:44:24,51.886,GHOST_END,,0.3,False,0.0754,0.9025,
2026-02-24T10:44:25,53.01,LASER_START,LASER,0.3,False,0.0405,0.6366,
2026-02-24T10:44:25,53.054,GHOST_START,,0.3,False,0.0405,0.6366,
2026-02-24T10:44:26,53.46,DROPOUT,,0.3,False,,,Hand lost beyond ghost window
2026-02-24T10:44:26,53.46,LASER_END,NONE,0.3,False,,,Hand lost during laser
2026-02-24T10:44:32,60.073,LOCK_RESET,,0.3,False,,,Manual reset via R key
2026-02-24T10:44:33,60.929,LOCK_SET,,0.3,False,0.6075,1.1059,Hand lock reference established
2026-02-24T10:44:34,61.722,GHOST_START,,0.3,False,0.5467,0.9246,
2026-02-24T10:44:34,62.159,DROPOUT,,0.3,False,,,Hand lost beyond ghost window
2026-02-24T10:44:37,64.261,RECALIBRATE_START,,0.3,False,,,
2026-02-24T10:44:43,70.735,RECALIBRATE_END,,0.6,False,,,New thresholds: det=0.6 track=0.6
2026-02-24T10:44:44,71.509,GHOST_START,,0.6,False,0.5692,0.9977,
2026-02-24T10:44:44,71.952,DROPOUT,,0.6,False,,,Hand lost beyond ghost window
2026-02-24T10:44:47,74.387,LASER_START,LASER,0.6,False,0.6302,0.8302,
2026-02-24T10:44:49,76.9,SWIPE_RIGHT,SWIPE,0.6,False,0.5514,0.8888,
2026-02-24T10:44:50,77.33,LASER_START,LASER,0.6,False,0.5598,0.8834,
2026-02-24T10:44:52,79.27,LASER_END,NONE,0.6,False,0.2729,0.9273,
2026-02-24T10:44:52,79.315,LASER_START,LASER,0.6,False,0.2851,0.9638,
2026-02-24T10:44:52,80.042,LASER_START,LASER,0.6,False,0.2677,0.9743,
2026-02-24T10:44:52,80.177,LASER_START,LASER,0.6,False,0.5493,0.9067,
