timestamp,event_type,hand_detected,orientation,confidence,gesture_type,is_ghost_frame,notes
1772685174.3219898,SESSION_START,False,,0.00,,False,det=0.3 trk=0.3
1772685179.4216695,LOCK_SET,True,,0.00,,False,"wrist=(0.341,0.630)"
1772685179.4623377,GHOST_START,True,,0.00,,False,frames_left=9
1772685187.7506657,DROPOUT,False,,0.00,,False,beyond ghost window
1772685194.2010415,LASER_FRAME,True,back-hand,0.24,LASER,False,
1772685194.2329574,LASER_FRAME,True,back-hand,0.20,LASER,False,
1772685194.2882195,LASER_FRAME,True,back-hand,0.15,LASER,False,
1772685194.312853,LASER_FRAME,True,back-hand,0.09,LASER,False,
1772685194.4229069,LASER_FRAME,True,back-hand,0.11,LASER,False,
1772685194.631237,LASER_FRAME,True,back-hand,0.35,LASER,False,
1772685194.687747,LASER_FRAME,True,back-hand,0.28,LASER,False,
1772685195.9808233,LASER_FRAME,True,palm,0.40,LASER,False,
1772685196.0145411,LASER_FRAME,True,palm,0.43,LASER,False,
1772685196.0609512,LASER_FRAME,True,back-hand,0.59,LASER,False,
1772685196.111164,LASER_FRAME,True,back-hand,0.61,LASER,False,
1772685196.1570053,LASER_FRAME,True,back-hand,0.66,LASER,False,
1772685196.1910038,LASER_FRAME,True,back-hand,0.64,LASER,False,
1772685196.2360342,LASER_FRAME,True,back-hand,0.66,LASER,False,
1772685196.278393,LASER_FRAME,True,back-hand,0.66,LASER,False,
1772685196.3198879,LASER_FRAME,True,back-hand,0.67,LASER,False,
1772685196.370708,LASER_FRAME,True,back-hand,0.67,LASER,False,
1772685196.3997095,LASER_FRAME,True,back-hand,0.66,LASER,False,
1772685196.4326007,LASER_FRAME,True,back-hand,0.67,LASER,False,
1772685196.4740527,LASER_FRAME,True,back-hand,0.67,LASER,False,
1772685196.5319674,LASER_FRAME,True,back-hand,0.70,LASER,False,
1772685196.5838943,LASER_FRAME,True,back-hand,0.71,LASER,False,
1772685196.6155326,LASER_FRAME,True,back-hand,0.70,LASER,False,
1772685196.6577349,LASER_FRAME,True,back-hand,0.69,LASER,False,
1772685196.708655,LASER_FRAME,True,back-hand,0.69,LASER,False,
1772685196.743917,LASER_FRAME,True,back-hand,0.67,LASER,False,
1772685196.778907,LASER_FRAME,True,back-hand,0.67,LASER,False,
1772685196.807736,LASER_FRAME,True,back-hand,0.68,LASER,False,
1772685196.8544586,LASER_FRAME,True,back-hand,0.69,LASER,False,
1772685196.8878715,LASER_FRAME,True,back-hand,0.68,LASER,False,
1772685196.9239995,LASER_FRAME,True,back-hand,0.69,LASER,False,
1772685196.9605434,LASER_FRAME,True,back-hand,0.70,LASER,False,
1772685196.986891,LASER_FRAME,True,back-hand,0.70,LASER,False,
1772685197.030785,LASER_FRAME,True,back-hand,0.69,LASER,False,
1772685197.0628123,LASER_FRAME,True,back-hand,0.70,LASER,False,
1772685197.092882,LASER_FRAME,True,back-hand,0.69,LASER,False,
1772685197.1447487,LASER_FRAME,True,back-hand,0.69,LASER,False,
1772685197.1938798,LASER_FRAME,True,back-hand,0.64,LASER,False,
1772685197.2423859,LASER_FRAME,True,back-hand,0.65,LASER,False,
1772685197.303039,LASER_FRAME,True,back-hand,0.64,LASER,False,
1772685197.3242419,LASER_FRAME,True,back-hand,0.65,LASER,False,
1772685197.381504,LASER_FRAME,True,back-hand,0.65,LASER,False,
1772685197.4171548,LASER_FRAME,True,back-hand,0.66,LASER,False,
1772685197.460191,LASER_FRAME,True,back-hand,0.66,LASER,False,
1772685197.5055194,LASER_FRAME,True,back-hand,0.67,LASER,False,
1772685197.5274005,LASER_FRAME,True,back-hand,0.67,LASER,False,
1772685197.5784278,LASER_FRAME,True,back-hand,0.66,LASER,False,
1772685197.603064,LASER_FRAME,True,back-hand,0.66,LASER,False,
1772685197.643609,LASER_FRAME,True,back-hand,0.67,LASER,False,
1772685197.6679277,LASER_FRAME,True,back-hand,0.67,LASER,False,
1772685197.7201014,LASER_FRAME,True,back-hand,0.67,LASER,False,
1772685197.765311,LASER_FRAME,True,back-hand,0.67,LASER,False,
1772685197.7912216,LASER_FRAME,True,back-hand,0.68,LASER,False,
1772685197.8558524,LASER_FRAME,True,back-hand,0.69,LASER,False,
1772685197.9087956,LASER_FRAME,True,back-hand,0.67,LASER,False,
1772685197.980479,GHOST_START,True,,0.00,,False,frames_left=9
1772685198.3949735,DROPOUT,False,,0.00,,False,beyond ghost window
1772685206.837868,LASER_FRAME,True,back-hand,0.03,LASER,False,
1772685206.8840685,LASER_FRAME,True,back-hand,0.07,LASER,False,
1772685206.9222448,LASER_FRAME,True,back-hand,0.08,LASER,False,
1772685206.9522629,LASER_FRAME,True,back-hand,0.10,LASER,False,
1772685206.9850502,LASER_FRAME,True,back-hand,0.11,LASER,False,
1772685207.0171084,LASER_FRAME,True,back-hand,0.09,LASER,False,
1772685207.0669382,LASER_FRAME,True,back-hand,0.20,LASER,False,
1772685207.09197,LASER_FRAME,True,back-hand,0.20,LASER,False,
1772685207.1393514,LASER_FRAME,True,back-hand,0.07,LASER,False,
1772685207.2725217,LASER_FRAME,True,palm,0.69,LASER,False,
1772685207.341494,GHOST_START,True,,0.00,,False,frames_left=9
1772685207.3420084,LASER_FRAME,True,palm,0.69,LASER,True,
1772685207.4064045,GHOST_END,True,,0.00,,False,
1772685207.457775,LASER_FRAME,True,palm,0.35,LASER,False,
1772685207.5421994,GHOST_START,True,,0.00,,False,frames_left=9
1772685207.9411242,DROPOUT,False,,0.00,,False,beyond ghost window
1772685216.1799667,GHOST_START,True,,0.00,,False,frames_left=9
1772685216.7573664,DROPOUT,False,,0.00,,False,beyond ghost window
1772685217.1954541,GHOST_START,True,,0.00,,False,frames_left=9
1772685217.7620668,DROPOUT,False,,0.00,,False,beyond ghost window
1772685234.351534,LOCK_RESET,False,,0.00,,False,manual R key
1772685234.3777614,LOCK_SET,True,,0.00,,False,"wrist=(0.654,0.946)"
1772685242.100026,GHOST_START,True,,0.00,,False,frames_left=9
1772685242.3717022,GHOST_END,True,,0.00,,False,
1772685243.5699277,GHOST_START,True,,0.00,,False,frames_left=9
1772685244.4474308,DROPOUT,False,,0.00,,False,beyond ghost window
1772685247.2165732,GHOST_START,True,,0.00,,False,frames_left=9
1772685247.9475555,DROPOUT,False,,0.00,,False,beyond ghost window
1772685248.5699673,GHOST_START,True,,0.00,,False,frames_left=9
1772685249.3724642,DROPOUT,False,,0.00,,False,beyond ghost window
1772685251.9281738,GHOST_START,True,,0.00,,False,frames_left=9
1772685253.0135868,GHOST_END,True,,0.00,,False,
1772685254.0811903,LASER_FRAME,True,palm,0.01,LASER,False,
1772685254.1903322,LASER_FRAME,True,palm,0.03,LASER,False,
1772685254.4203324,GHOST_START,True,,0.00,,False,frames_left=9
1772685255.1848836,DROPOUT,False,,0.00,,False,beyond ghost window
1772685256.3247647,GHOST_START,True,,0.00,,False,frames_left=9
1772685256.6990476,GHOST_END,True,,0.00,,False,
1772685257.3134236,GHOST_START,True,,0.00,,False,frames_left=9
1772685258.4180446,DROPOUT,False,,0.00,,False,beyond ghost window
1772685272.6192217,GHOST_START,True,,0.00,,False,frames_left=9
1772685272.718786,GHOST_END,True,,0.00,,False,
1772685273.4828336,LASER_FRAME,True,back-hand,0.41,LASER,False,
1772685273.5577662,LASER_FRAME,True,back-hand,0.38,LASER,False,
1772685273.6259725,LASER_FRAME,True,back-hand,0.35,LASER,False,
1772685274.9126902,GHOST_START,True,,0.00,,False,frames_left=9
1772685275.3373842,GHOST_END,True,,0.00,,False,
1772685275.3376157,LASER_FRAME,True,palm,0.72,LASER,False,
1772685275.4084754,LASER_FRAME,True,palm,0.75,LASER,False,
1772685275.477157,LASER_FRAME,True,palm,0.77,LASER,False,
1772685275.5485127,LASER_FRAME,True,palm,0.78,LASER,False,
1772685275.6291878,LASER_FRAME,True,palm,0.71,LASER,False,
1772685275.6973271,LASER_FRAME,True,palm,0.31,LASER,False,
1772685275.7758877,LASER_FRAME,True,palm,0.22,LASER,False,
1772685275.8465607,LASER_FRAME,True,palm,0.22,LASER,False,
1772685275.9305663,LASER_FRAME,True,palm,0.22,LASER,False,
1772685276.0128522,LASER_FRAME,True,palm,0.22,LASER,False,
1772685276.1032968,LASER_FRAME,True,palm,0.23,LASER,False,
