timestamp,elapsed_seconds,orientation,orientation_confidence,swipe_direction,is_ghost_frame,notes
2026-03-06T09:30:02,300.255,palm,0.247,LEFT,False,
2026-03-06T09:30:02,300.664,palm,0.013,RIGHT,False,
2026-03-06T09:30:04,302.518,palm,0.12,RIGHT,False,
2026-03-06T09:30:04,302.79,palm,0.02,RIGHT,False,
2026-03-06T09:30:09,306.945,palm,0.084,LEFT,False,
2026-03-06T09:30:12,309.898,palm,0.005,LEFT,False,
2026-03-06T09:30:17,315.273,palm,0.14,LEFT,False,
2026-03-06T09:30:17,315.676,palm,0.017,RIGHT,False,
2026-03-06T09:30:22,320.182,palm,0.125,LEFT,False,
