timestamp,event_type,hand_detected,orientation,confidence,gesture_type,is_ghost_frame,notes
1773241725.4841056,SESSION_START,False,,0.00,,False,det=0.2 trk=0.2
1773241749.8862474,LOCK_SET,True,,0.00,,False,"wrist=(0.283,0.708)"
1773241750.4840245,ZOOM_TOGGLE,True,palm,0.18,ZOOM,False,
1773241750.5830667,LASER_FRAME,True,palm,0.16,LASER,False,
1773241751.2301557,GHOST_START,True,,0.00,,False,frames_left=7
1773241751.7132576,DROPOUT,False,,0.00,,False,beyond ghost window
1773241752.605953,LASER_FRAME,True,palm,0.03,LASER,False,
1773241752.7040741,LASER_FRAME,True,palm,0.03,LASER,False,
1773241753.4978757,ZOOM_TOGGLE,True,palm,0.14,ZOOM,False,
1773241756.3768315,LASER_FRAME,True,palm,0.08,LASER,False,
1773241756.765615,ZOOM_TOGGLE,True,palm,0.16,ZOOM,False,
1773241760.1980772,LASER_FRAME,True,palm,0.28,LASER,False,
1773241760.5802743,ZOOM_TOGGLE,True,palm,0.36,ZOOM,False,
1773241760.9074802,LASER_FRAME,True,palm,0.31,LASER,False,
1773241760.9354002,LASER_FRAME,True,palm,0.30,LASER,False,
1773241760.9996595,LASER_FRAME,True,palm,0.32,LASER,False,
1773241761.0313492,LASER_FRAME,True,palm,0.31,LASER,False,
1773241761.0680172,LASER_FRAME,True,palm,0.30,LASER,False,
1773241761.1020484,LASER_FRAME,True,palm,0.28,LASER,False,
1773241761.1313028,LASER_FRAME,True,palm,0.31,LASER,False,
1773241761.201717,LASER_FRAME,True,palm,0.31,LASER,False,
1773241761.2675202,LASER_FRAME,True,palm,0.32,LASER,False,
1773241761.6600606,ZOOM_TOGGLE,True,palm,0.33,ZOOM,False,
1773241761.8670604,LASER_FRAME,True,palm,0.21,LASER,False,
1773241762.2668188,ZOOM_TOGGLE,True,palm,0.34,ZOOM,False,
1773241762.369562,LASER_FRAME,True,palm,0.32,LASER,False,
1773241762.394418,LASER_FRAME,True,palm,0.31,LASER,False,
1773241762.7446773,ZOOM_TOGGLE,True,palm,0.33,ZOOM,False,
1773241762.7938635,LASER_FRAME,True,palm,0.15,LASER,False,
1773241762.8858917,LASER_FRAME,True,palm,0.32,LASER,False,
1773241762.9698699,LASER_FRAME,True,palm,0.32,LASER,False,
1773241763.0674534,LASER_FRAME,True,palm,0.32,LASER,False,
1773241763.1396732,LASER_FRAME,True,palm,0.30,LASER,False,
1773241763.2229145,LASER_FRAME,True,palm,0.30,LASER,False,
1773241763.3152063,LASER_FRAME,True,palm,0.29,LASER,False,
1773241763.409828,LASER_FRAME,True,palm,0.32,LASER,False,
1773241763.496746,LASER_FRAME,True,palm,0.31,LASER,False,
1773241763.9045177,ZOOM_TOGGLE,True,palm,0.32,ZOOM,False,
1773241764.0707839,LASER_FRAME,True,palm,0.20,LASER,False,
1773241764.3581684,ZOOM_TOGGLE,True,palm,0.32,ZOOM,False,
1773241765.281188,GHOST_START,True,,0.00,,False,frames_left=7
1773241765.8067656,DROPOUT,False,,0.00,,False,beyond ghost window
1773241766.481983,LASER_FRAME,True,palm,0.28,LASER,False,
1773241766.5515852,LASER_FRAME,True,palm,0.29,LASER,False,
1773241766.663473,LASER_FRAME,True,palm,0.29,LASER,False,
1773241766.7561948,LASER_FRAME,True,palm,0.30,LASER,False,
1773241766.841841,LASER_FRAME,True,palm,0.30,LASER,False,
1773241766.947951,LASER_FRAME,True,palm,0.31,LASER,False,
1773241767.0402768,LASER_FRAME,True,palm,0.29,LASER,False,
1773241767.1065638,LASER_FRAME,True,palm,0.31,LASER,False,
1773241767.1990995,LASER_FRAME,True,palm,0.30,LASER,False,
1773241767.2841094,LASER_FRAME,True,palm,0.29,LASER,False,
1773241767.3750644,LASER_FRAME,True,palm,0.26,LASER,False,
1773241767.475261,LASER_FRAME,True,palm,0.27,LASER,False,
1773241767.5610287,LASER_FRAME,True,palm,0.27,LASER,False,
1773241767.656407,LASER_FRAME,True,palm,0.26,LASER,False,
1773241767.7238858,LASER_FRAME,True,palm,0.27,LASER,False,
1773241767.8274882,LASER_FRAME,True,palm,0.27,LASER,False,
1773241767.9133258,LASER_FRAME,True,palm,0.27,LASER,False,
1773241768.0112545,LASER_FRAME,True,palm,0.27,LASER,False,
1773241768.0828385,LASER_FRAME,True,palm,0.27,LASER,False,
1773241768.176785,LASER_FRAME,True,palm,0.27,LASER,False,
1773241768.309256,LASER_FRAME,True,palm,0.27,LASER,False,
1773241768.378104,LASER_FRAME,True,palm,0.27,LASER,False,
1773241768.4725225,LASER_FRAME,True,palm,0.30,LASER,False,
1773241768.571807,LASER_FRAME,True,palm,0.32,LASER,False,
1773241768.6695771,LASER_FRAME,True,palm,0.34,LASER,False,
1773241768.7546542,LASER_FRAME,True,palm,0.33,LASER,False,
1773241768.8338234,LASER_FRAME,True,palm,0.35,LASER,False,
1773241768.9287138,LASER_FRAME,True,palm,0.34,LASER,False,
1773241769.0130458,LASER_FRAME,True,palm,0.34,LASER,False,
1773241769.1048324,LASER_FRAME,True,palm,0.34,LASER,False,
1773241769.1806626,LASER_FRAME,True,palm,0.34,LASER,False,
1773241769.2772405,LASER_FRAME,True,palm,0.34,LASER,False,
1773241769.3611653,LASER_FRAME,True,palm,0.34,LASER,False,
1773241769.4478893,LASER_FRAME,True,palm,0.35,LASER,False,
1773241769.5492249,LASER_FRAME,True,palm,0.35,LASER,False,
1773241769.9447305,ZOOM_TOGGLE,True,palm,0.34,ZOOM,False,
1773241770.844358,LASER_FRAME,True,palm,0.28,LASER,False,
1773241770.9065535,LASER_FRAME,True,palm,0.28,LASER,False,
1773241770.9309485,LASER_FRAME,True,palm,0.28,LASER,False,
1773241770.9616382,LASER_FRAME,True,palm,0.28,LASER,False,
1773241771.008023,LASER_FRAME,True,palm,0.28,LASER,False,
