timestamp,event_type,hand_detected,orientation,confidence,gesture_type,is_ghost_frame,notes
1776067226.485285,SESSION_START,False,,0.00,,False,det=0.3 trk=0.3
1776067232.420366,LOCK_SET,True,,0.00,,False,"wrist=(0.556,0.991)"
1776067232.5189714,GHOST_START,True,,0.00,,False,frames_left=9
1776067233.0876837,GHOST_END,True,,0.00,,False,
1776067233.13419,GHOST_START,True,,0.00,,False,frames_left=9
1776067233.383631,GHOST_END,True,,0.00,,False,
1776067233.7991564,LASER_FRAME,True,palm,0.11,LASER,False,
1776067233.8430016,LASER_FRAME,True,palm,0.05,LASER,False,
1776067234.0852022,LASER_FRAME,True,palm,0.09,LASER,False,
1776067234.1301508,LASER_FRAME,True,palm,0.03,LASER,False,
1776067234.1798937,LASER_FRAME,True,palm,0.03,LASER,False,
1776067234.241353,LASER_FRAME,True,palm,0.09,LASER,False,
1776067234.4214382,LASER_FRAME,True,palm,0.10,LASER,False,
1776067234.53026,GHOST_START,True,,0.00,,False,frames_left=9
1776067234.6255705,GHOST_END,True,,0.00,,False,
1776067234.741643,LASER_FRAME,True,palm,0.05,LASER,False,
1776067234.7875915,LASER_FRAME,True,palm,0.07,LASER,False,
1776067234.844372,LASER_FRAME,True,palm,0.06,LASER,False,
1776067234.9252295,LASER_FRAME,True,palm,0.03,LASER,False,
1776067234.9710493,LASER_FRAME,True,palm,0.02,LASER,False,
1776067235.0373783,LASER_FRAME,True,palm,0.06,LASER,False,
1776067235.0982852,LASER_FRAME,True,palm,0.07,LASER,False,
1776067235.208929,LASER_FRAME,True,palm,0.01,LASER,False,
1776067235.242213,LASER_FRAME,True,palm,0.04,LASER,False,
1776067235.2825983,LASER_FRAME,True,palm,0.06,LASER,False,
1776067235.3355558,LASER_FRAME,True,palm,0.02,LASER,False,
1776067235.374885,LASER_FRAME,True,palm,0.02,LASER,False,
1776067235.4892578,LASER_FRAME,True,palm,0.07,LASER,False,
1776067235.5504682,LASER_FRAME,True,palm,0.00,LASER,False,
1776067235.61467,LASER_FRAME,True,palm,0.02,LASER,False,
1776067235.6548278,LASER_FRAME,True,palm,0.04,LASER,False,
1776067235.7286375,LASER_FRAME,True,palm,0.05,LASER,False,
1776067235.7886002,LASER_FRAME,True,palm,0.01,LASER,False,
1776067235.8229108,LASER_FRAME,True,palm,0.02,LASER,False,
1776067235.924829,LASER_FRAME,True,palm,0.05,LASER,False,
1776067236.0040822,LASER_FRAME,True,palm,0.14,LASER,False,
1776067236.0641608,LASER_FRAME,True,palm,0.01,LASER,False,
1776067236.1481018,LASER_FRAME,True,palm,0.10,LASER,False,
1776067236.1801388,LASER_FRAME,True,palm,0.04,LASER,False,
1776067236.2477398,LASER_FRAME,True,palm,0.05,LASER,False,
1776067236.738105,GHOST_START,True,,0.00,,False,frames_left=9
1776067236.8096297,GHOST_END,True,,0.00,,False,
1776067236.8621345,GHOST_START,True,,0.00,,False,frames_left=9
1776067236.9227207,GHOST_END,True,,0.00,,False,
1776067236.922923,LASER_FRAME,True,palm,0.20,LASER,False,
1776067237.1998432,LASER_FRAME,True,palm,0.03,LASER,False,
1776067237.2574787,LASER_FRAME,True,palm,0.04,LASER,False,
1776067238.2878127,FIST_ZOOM_ON,True,palm,0.19,FIST,False,
1776067238.5326524,FIST_ZOOM_OFF,True,palm,0.03,FIST_RELEASE,False,
1776067244.1978395,GHOST_START,True,,0.00,,False,frames_left=9
1776067244.7290666,DROPOUT,False,,0.00,,False,beyond ghost window
1776067245.4036534,GHOST_START,True,,0.00,,False,frames_left=9
1776067245.929326,GHOST_END,True,,0.00,,False,
1776067245.9932237,GHOST_START,True,,0.00,,False,frames_left=9
1776067246.1382148,GHOST_END,True,,0.00,,False,
1776067246.2865546,GHOST_START,True,,0.00,,False,frames_left=9
1776067246.5249598,GHOST_END,True,,0.00,,False,
1776067246.543066,GHOST_START,True,,0.00,,False,frames_left=9
1776067246.7915258,GHOST_END,True,,0.00,,False,
1776067246.887189,GHOST_START,True,,0.00,,False,frames_left=9
1776067247.6430984,DROPOUT,False,,0.00,,False,beyond ghost window
1776067253.375793,ERASE_GESTURE,True,,0.00,,False,
1776067253.4098065,GHOST_START,True,,0.00,,False,frames_left=9
1776067254.0874352,GHOST_END,True,,0.00,,False,
1776067254.1699092,LASER_FRAME,True,palm,0.10,LASER,False,
1776067254.2056983,GHOST_START,True,,0.00,,False,frames_left=9
1776067254.2063546,LASER_FRAME,True,palm,0.10,LASER,True,
1776067254.2540412,LASER_FRAME,True,palm,0.10,LASER,True,
1776067254.3438935,LASER_FRAME,True,palm,0.10,LASER,True,
1776067254.4076402,LASER_FRAME,True,palm,0.10,LASER,True,
1776067254.451574,LASER_FRAME,True,palm,0.10,LASER,True,
1776067254.5041318,LASER_FRAME,True,palm,0.10,LASER,True,
1776067254.577497,LASER_FRAME,True,palm,0.10,LASER,True,
1776067254.6472147,LASER_FRAME,True,palm,0.10,LASER,True,
1776067254.7360535,GHOST_END,True,,0.00,,False,
1776067254.783092,GHOST_START,True,,0.00,,False,frames_left=9
1776067255.364009,DROPOUT,False,,0.00,,False,beyond ghost window
1776067257.960534,GHOST_START,True,,0.00,,False,frames_left=9
1776067258.5885153,DROPOUT,False,,0.00,,False,beyond ghost window
1776067258.7220016,GHOST_START,True,,0.00,,False,frames_left=9
1776067259.4049823,DROPOUT,False,,0.00,,False,beyond ghost window
1776067260.517269,LASER_FRAME,True,back-hand,0.00,LASER,False,
1776067260.6658692,GHOST_START,True,,0.00,,False,frames_left=9
1776067260.743253,GHOST_END,True,,0.00,,False,
1776067260.8267467,GHOST_START,True,,0.00,,False,frames_left=9
1776067260.910939,GHOST_END,True,,0.00,,False,
1776067260.9974678,GHOST_START,True,,0.00,,False,frames_left=9
1776067261.7956395,DROPOUT,False,,0.00,,False,beyond ghost window
1776067263.4552703,ERASE_GESTURE,True,,0.00,,False,
1776067267.2120297,GHOST_START,True,,0.00,,False,frames_left=9
1776067267.8145924,GHOST_END,True,,0.00,,False,
1776067269.3577027,GHOST_START,True,,0.00,,False,frames_left=9
1776067269.4444468,GHOST_END,True,,0.00,,False,
1776067269.7790656,GHOST_START,True,,0.00,,False,frames_left=9
1776067269.8616364,GHOST_END,True,,0.00,,False,
1776067270.0064938,GHOST_START,True,,0.00,,False,frames_left=9
1776067270.0621736,GHOST_END,True,,0.00,,False,
1776067271.2891135,GHOST_START,True,,0.00,,False,frames_left=9
1776067271.913425,GHOST_END,True,,0.00,,False,
1776067271.975679,GHOST_START,True,,0.00,,False,frames_left=9
1776067272.0463963,GHOST_END,True,,0.00,,False,
1776067272.187854,GHOST_START,True,,0.00,,False,frames_left=9
1776067272.5204291,GHOST_END,True,,0.00,,False,
1776067274.1019995,GHOST_START,True,,0.00,,False,frames_left=9
1776067274.3237135,GHOST_END,True,,0.00,,False,
1776067278.5581388,LASER_FRAME,True,back-hand,0.02,LASER,False,
1776067278.6025963,LASER_FRAME,True,back-hand,0.01,LASER,False,
1776067278.643553,LASER_FRAME,True,back-hand,0.00,LASER,False,
1776067278.7034729,LASER_FRAME,True,back-hand,0.07,LASER,False,
1776067278.7449436,LASER_FRAME,True,back-hand,0.05,LASER,False,
1776067278.810449,LASER_FRAME,True,back-hand,0.07,LASER,False,
1776067278.8693771,LASER_FRAME,True,back-hand,0.07,LASER,False,
1776067278.925348,LASER_FRAME,True,back-hand,0.08,LASER,False,
1776067278.9794233,LASER_FRAME,True,back-hand,0.06,LASER,False,
1776067279.0424178,LASER_FRAME,True,back-hand,0.06,LASER,False,
1776067279.076803,LASER_FRAME,True,back-hand,0.08,LASER,False,
1776067279.1384397,LASER_FRAME,True,back-hand,0.03,LASER,False,
1776067279.1718,LASER_FRAME,True,back-hand,0.03,LASER,False,
1776067279.2611365,LASER_FRAME,True,back-hand,0.00,LASER,False,
1776067279.3227313,LASER_FRAME,True,back-hand,0.01,LASER,False,
1776067279.5583441,LASER_FRAME,True,back-hand,0.00,LASER,False,
1776067279.5982714,LASER_FRAME,True,back-hand,0.01,LASER,False,
1776067279.6400971,LASER_FRAME,True,back-hand,0.02,LASER,False,
1776067279.704096,LASER_FRAME,True,back-hand,0.02,LASER,False,
1776067279.7338107,LASER_FRAME,True,back-hand,0.04,LASER,False,
1776067279.7997522,LASER_FRAME,True,back-hand,0.03,LASER,False,
1776067279.8322647,LASER_FRAME,True,back-hand,0.05,LASER,False,
1776067279.911382,LASER_FRAME,True,back-hand,0.04,LASER,False,
1776067279.9441693,LASER_FRAME,True,back-hand,0.01,LASER,False,
1776067280.0999475,LASER_FRAME,True,back-hand,0.04,LASER,False,
1776067280.1785414,LASER_FRAME,True,back-hand,0.02,LASER,False,
1776067280.2103553,LASER_FRAME,True,back-hand,0.05,LASER,False,
1776067280.3001382,LASER_FRAME,True,back-hand,0.08,LASER,False,
1776067280.3365283,LASER_FRAME,True,back-hand,0.03,LASER,False,
1776067280.4989088,ERASE_GESTURE,True,,0.00,,False,
1776067281.183814,LASER_FRAME,True,back-hand,0.20,LASER,False,
1776067282.0531597,ERASE_GESTURE,True,,0.00,,False,
1776067284.4292433,LASER_FRAME,True,back-hand,0.04,LASER,False,
1776067284.5455701,GHOST_START,True,,0.00,,False,frames_left=9
1776067285.3148677,GHOST_END,True,,0.00,,False,
1776067285.6113014,GHOST_START,True,,0.00,,False,frames_left=9
1776067285.7175272,GHOST_END,True,,0.00,,False,
1776067298.1727262,LASER_FRAME,True,back-hand,0.05,LASER,False,
1776067299.6598532,LASER_FRAME,True,back-hand,0.06,LASER,False,
1776067299.702067,LASER_FRAME,True,back-hand,0.06,LASER,False,
1776067300.5734403,LASER_FRAME,True,back-hand,0.09,LASER,False,
1776067301.6094813,LASER_FRAME,True,back-hand,0.08,LASER,False,
1776067302.0046668,LASER_FRAME,True,back-hand,0.05,LASER,False,
1776067304.7321472,GHOST_START,True,,0.00,,False,frames_left=9
1776067305.5881824,DROPOUT,False,,0.00,,False,beyond ghost window
1776067306.2136028,GHOST_START,True,,0.00,,False,frames_left=9
1776067306.3002524,GHOST_END,True,,0.00,,False,
1776067306.3004494,ERASE_GESTURE,True,,0.00,,False,
1776067306.4278228,LASER_FRAME,True,back-hand,0.01,LASER,False,
1776067306.4938724,GHOST_START,True,,0.00,,False,frames_left=9
1776067306.4941354,LASER_FRAME,True,back-hand,0.01,LASER,True,
1776067306.5531209,GHOST_END,True,,0.00,,False,
1776067306.646433,GHOST_START,True,,0.00,,False,frames_left=9
1776067307.353961,DROPOUT,False,,0.00,,False,beyond ghost window
1776067342.4634607,GHOST_START,True,,0.00,,False,frames_left=9
1776067343.7404356,DROPOUT,False,,0.00,,False,beyond ghost window
1776067386.9974499,GHOST_START,True,,0.00,,False,frames_left=9
1776067387.1143682,GHOST_END,True,,0.00,,False,
1776067387.2365046,GHOST_START,True,,0.00,,False,frames_left=9
1776067387.4527965,GHOST_END,True,,0.00,,False,
1776067387.9283633,GHOST_START,True,,0.00,,False,frames_left=9
1776067388.2875292,GHOST_END,True,,0.00,,False,
1776067396.2183363,GHOST_START,True,,0.00,,False,frames_left=9
1776067396.3198097,GHOST_END,True,,0.00,,False,
1776067396.5009432,GHOST_START,True,,0.00,,False,frames_left=9
1776067396.6110206,GHOST_END,True,,0.00,,False,
1776067397.1186388,GHOST_START,True,,0.00,,False,frames_left=9
1776067397.3176742,GHOST_END,True,,0.00,,False,
1776067397.4114902,GHOST_START,True,,0.00,,False,frames_left=9
1776067397.7512403,GHOST_END,True,,0.00,,False,
1776067397.7925987,GHOST_START,True,,0.00,,False,frames_left=9
1776067397.8848004,GHOST_END,True,,0.00,,False,
1776067397.9269583,GHOST_START,True,,0.00,,False,frames_left=9
1776067398.1306121,GHOST_END,True,,0.00,,False,
1776067398.1985774,GHOST_START,True,,0.00,,False,frames_left=9
1776067398.5547035,GHOST_END,True,,0.00,,False,
1776067398.601155,GHOST_START,True,,0.00,,False,frames_left=9
1776067398.8287494,GHOST_END,True,,0.00,,False,
1776067398.8675623,GHOST_START,True,,0.00,,False,frames_left=9
1776067399.229345,GHOST_END,True,,0.00,,False,
1776067399.343319,GHOST_START,True,,0.00,,False,frames_left=9
1776067399.4441988,GHOST_END,True,,0.00,,False,
1776067399.5467818,GHOST_START,True,,0.00,,False,frames_left=9
1776067400.4748535,DROPOUT,False,,0.00,,False,beyond ghost window
1776067400.6433399,ERASE_GESTURE,True,,0.00,,False,
1776067400.8790946,GHOST_START,True,,0.00,,False,frames_left=9
