timestamp,event_type,hand_detected,orientation,confidence,gesture_type,is_ghost_frame,notes
1774265410.72016,SESSION_START,False,,0.00,,False,det=0.2 trk=0.2
1774265467.3797665,LOCK_SET,True,,0.00,,False,"wrist=(0.348,0.488)"
1774265467.4099228,GHOST_START,True,,0.00,,False,frames_left=7
1774265467.7886586,DROPOUT,False,,0.00,,False,beyond ghost window
1774265547.828666,GHOST_START,True,,0.00,,False,frames_left=7
1774265548.507329,DROPOUT,False,,0.00,,False,beyond ghost window
1774265598.0303645,LASER_FRAME,True,palm,0.25,LASER,False,
1774265598.1631522,LASER_FRAME,True,palm,0.28,LASER,False,
1774265598.2203565,LASER_FRAME,True,palm,0.28,LASER,False,
1774265598.2602193,LASER_FRAME,True,palm,0.28,LASER,False,
1774265598.4838498,LASER_FRAME,True,palm,0.31,LASER,False,
1774265598.9682798,GHOST_START,True,,0.00,,False,frames_left=7
1774265599.6784608,DROPOUT,False,,0.00,,False,beyond ghost window
1774265607.0209072,GHOST_START,True,,0.00,,False,frames_left=7
1774265607.5504165,DROPOUT,False,,0.00,,False,beyond ghost window
1774265608.2851782,GHOST_START,True,,0.00,,False,frames_left=7
1774265608.740648,DROPOUT,False,,0.00,,False,beyond ghost window
1774265639.1963327,GHOST_START,True,,0.00,,False,frames_left=7
1774265639.7810524,DROPOUT,False,,0.00,,False,beyond ghost window
1774265647.3621402,GHOST_START,True,,0.00,,False,frames_left=7
1774265647.8852606,DROPOUT,False,,0.00,,False,beyond ghost window
1774265648.6240742,LASER_FRAME,True,palm,0.20,LASER,False,
1774265648.7224932,GHOST_START,True,,0.00,,False,frames_left=7
1774265649.264017,DROPOUT,False,,0.00,,False,beyond ghost window
1774265650.0750122,GHOST_START,True,,0.00,,False,frames_left=7
1774265650.5721414,DROPOUT,False,,0.00,,False,beyond ghost window
1774265666.65675,GHOST_START,True,,0.00,,False,frames_left=7
1774265666.9992752,GHOST_END,True,,0.00,,False,
1774265667.0641909,GHOST_START,True,,0.00,,False,frames_left=7
1774265667.170686,GHOST_END,True,,0.00,,False,
1774265667.2271693,GHOST_START,True,,0.00,,False,frames_left=7
1774265667.870532,DROPOUT,False,,0.00,,False,beyond ghost window
1774265668.8126385,GHOST_START,True,,0.00,,False,frames_left=7
1774265669.3441744,DROPOUT,False,,0.00,,False,beyond ghost window
1774265670.616829,GHOST_START,True,,0.00,,False,frames_left=7
1774265670.7928867,GHOST_END,True,,0.00,,False,
1774265670.8517604,GHOST_START,True,,0.00,,False,frames_left=7
1774265671.5134387,DROPOUT,False,,0.00,,False,beyond ghost window
1774265678.8914757,GHOST_START,True,,0.00,,False,frames_left=7
1774265679.3290083,GHOST_END,True,,0.00,,False,
1774265679.4989212,GHOST_START,True,,0.00,,False,frames_left=7
1774265679.6871157,GHOST_END,True,,0.00,,False,
1774265679.7733285,GHOST_START,True,,0.00,,False,frames_left=7
1774265679.9902093,GHOST_END,True,,0.00,,False,
1774265680.0752525,GHOST_START,True,,0.00,,False,frames_left=7
1774265680.1687243,GHOST_END,True,,0.00,,False,
1774265680.2027516,GHOST_START,True,,0.00,,False,frames_left=7
1774265680.263942,GHOST_END,True,,0.00,,False,
1774265680.3121314,GHOST_START,True,,0.00,,False,frames_left=7
1774265680.8654997,GHOST_END,True,,0.00,,False,
1774265680.9067502,GHOST_START,True,,0.00,,False,frames_left=7
1774265681.1481159,GHOST_END,True,,0.00,,False,
1774265681.1827757,GHOST_START,True,,0.00,,False,frames_left=7
1774265681.9370918,DROPOUT,False,,0.00,,False,beyond ghost window
1774265693.9351046,GHOST_START,True,,0.00,,False,frames_left=7
1774265694.7817528,DROPOUT,False,,0.00,,False,beyond ghost window
1774265706.113942,GHOST_START,True,,0.00,,False,frames_left=7
1774265706.810035,DROPOUT,False,,0.00,,False,beyond ghost window
1774265729.9441092,GHOST_START,True,,0.00,,False,frames_left=7
1774265730.397709,DROPOUT,False,,0.00,,False,beyond ghost window
1774265737.2783892,LASER_FRAME,True,palm,0.05,LASER,False,
1774265737.343919,GHOST_START,True,,0.00,,False,frames_left=7
1774265737.344416,LASER_FRAME,True,palm,0.05,LASER,True,
1774265737.4273894,LASER_FRAME,True,palm,0.05,LASER,True,
1774265737.50491,LASER_FRAME,True,palm,0.05,LASER,True,
1774265737.5972114,LASER_FRAME,True,palm,0.05,LASER,True,
1774265737.66278,LASER_FRAME,True,palm,0.05,LASER,True,
1774265737.7252624,LASER_FRAME,True,palm,0.05,LASER,True,
1774265737.7583835,LASER_FRAME,True,palm,0.05,LASER,True,
1774265737.789075,LASER_FRAME,True,palm,0.05,LASER,True,
1774265737.8437405,DROPOUT,False,,0.00,,False,beyond ghost window
1774265768.3942852,ZOOM_TOGGLE,True,palm,0.25,ZOOM,False,
1774265769.1313152,GHOST_START,True,,0.00,,False,frames_left=7
