timestamp,elapsed_seconds,orientation,orientation_confidence,swipe_direction,is_ghost_frame,notes
2026-03-05T19:56:52,79.876,palm,0.317,RIGHT,False,
2026-03-05T19:56:55,82.13,palm,0.312,RIGHT,False,
2026-03-05T19:56:56,83.028,palm,0.385,RIGHT,False,
2026-03-05T19:56:57,83.923,palm,0.334,RIGHT,False,
2026-03-05T19:57:05,92.669,palm,0.302,RIGHT,False,
2026-03-05T19:57:08,95.086,palm,0.353,RIGHT,False,
2026-03-05T19:58:11,158.746,palm,0.035,RIGHT,False,
2026-03-05T20:00:01,268.048,palm,0.013,RIGHT,False,
2026-03-05T20:00:07,274.625,palm,0.068,RIGHT,False,
2026-03-05T20:00:13,280.547,palm,0.111,LEFT,False,
2026-03-05T20:00:16,283.281,palm,0.124,RIGHT,False,
2026-03-05T20:00:19,286.09,palm,0.22,RIGHT,False,
2026-03-05T20:00:25,292.081,palm,0.011,LEFT,False,
2026-03-05T20:00:27,294.336,palm,0.217,RIGHT,False,
2026-03-05T20:00:32,299.072,palm,0.047,LEFT,False,
2026-03-05T20:01:18,345.655,back-hand,0.1,LEFT,False,
2026-03-05T20:01:22,349.876,back-hand,0.147,LEFT,False,
2026-03-05T20:01:28,354.917,back-hand,0.121,RIGHT,False,
2026-03-05T20:01:43,370.006,palm,0.211,RIGHT,False,
2026-03-05T20:01:48,375.723,palm,0.187,RIGHT,False,
2026-03-05T20:02:20,407.264,palm,0.498,RIGHT,False,
2026-03-05T20:02:26,412.945,palm,0.191,RIGHT,False,
2026-03-05T20:02:27,414.459,palm,0.264,LEFT,False,
2026-03-05T20:02:30,417.591,palm,0.218,LEFT,False,
2026-03-05T20:02:40,427.633,palm,0.027,LEFT,False,
2026-03-05T20:02:42,429.899,palm,0.042,RIGHT,False,
2026-03-05T20:02:43,430.295,palm,0.115,LEFT,False,
2026-03-05T20:03:00,447.183,palm,0.068,RIGHT,False,
2026-03-05T20:03:00,447.746,palm,0.133,LEFT,False,
2026-03-05T20:03:02,449.21,palm,0.172,RIGHT,False,
2026-03-05T20:03:02,449.556,palm,0.167,LEFT,False,
2026-03-05T20:03:03,449.929,palm,0.306,RIGHT,False,
2026-03-05T20:03:03,450.667,palm,0.359,RIGHT,False,
2026-03-05T20:03:04,451.281,palm,0.389,RIGHT,False,
2026-03-05T20:03:04,451.641,palm,0.337,RIGHT,True,
2026-03-05T20:03:05,452.003,palm,0.461,RIGHT,True,
2026-03-05T20:03:05,452.719,palm,0.276,RIGHT,False,
2026-03-05T20:03:06,453.279,palm,0.064,RIGHT,False,
2026-03-05T20:03:07,454.051,palm,0.153,LEFT,False,
2026-03-05T20:03:11,458.094,palm,0.21,RIGHT,False,
2026-03-05T20:03:13,459.963,palm,0.225,LEFT,False,
2026-03-05T20:03:14,460.975,palm,0.244,LEFT,False,
2026-03-05T20:03:16,463.161,palm,0.235,LEFT,False,
2026-03-05T20:03:20,466.933,palm,0.238,RIGHT,False,
2026-03-05T20:03:20,467.441,palm,0.329,LEFT,False,
2026-03-05T20:03:23,470.307,palm,0.15,RIGHT,False,
2026-03-05T20:03:26,473.521,palm,0.225,RIGHT,False,
2026-03-05T20:03:27,474.418,palm,0.139,RIGHT,False,
2026-03-05T20:03:29,476.765,palm,0.14,RIGHT,False,
2026-03-05T20:03:31,478.903,palm,0.254,LEFT,False,
2026-03-05T20:03:33,480.502,palm,0.184,LEFT,False,
2026-03-05T20:03:36,483.074,palm,0.112,RIGHT,False,
2026-03-05T20:03:36,483.646,palm,0.181,LEFT,False,
2026-03-05T20:03:38,484.959,palm,0.156,RIGHT,False,
2026-03-05T20:03:40,487.51,palm,0.21,RIGHT,False,
2026-03-05T20:03:42,489.605,palm,0.261,RIGHT,False,
2026-03-05T20:03:45,491.918,palm,0.14,LEFT,False,
2026-03-05T20:03:48,495.122,palm,0.134,RIGHT,False,
2026-03-05T20:03:54,501.232,palm,0.141,RIGHT,False,
2026-03-05T20:03:59,506.217,palm,0.126,RIGHT,False,
2026-03-05T20:04:03,509.961,palm,0.187,RIGHT,False,
2026-03-05T20:04:05,512.567,palm,0.124,RIGHT,False,
2026-03-05T20:04:12,519.502,palm,0.25,RIGHT,False,
2026-03-05T20:04:17,523.992,palm,0.285,RIGHT,False,
2026-03-05T20:04:19,526.722,palm,0.259,RIGHT,False,
