timestamp,elapsed_seconds,orientation,orientation_confidence,swipe_direction,is_ghost_frame,notes
2026-03-03T11:33:26,62.584,palm,0.088,RIGHT,False,Movement validated
2026-03-03T11:33:33,68.968,palm,0.002,RIGHT,False,Movement validated
2026-03-03T11:33:34,69.817,palm,0.004,LEFT,False,Movement validated
2026-03-03T11:33:34,70.041,palm,0.15,LEFT,False,Movement validated
2026-03-03T11:33:35,71.145,palm,0.004,RIGHT,False,Movement validated
2026-03-03T11:33:37,73.153,palm,0.119,RIGHT,False,Movement validated
2026-03-03T11:33:38,74.253,palm,0.194,LEFT,False,Movement validated
2026-03-03T11:33:40,76.473,palm,0.117,RIGHT,False,Movement validated
2026-03-03T11:33:42,78.033,palm,0.111,LEFT,False,Movement validated
2026-03-03T11:33:43,79.491,palm,0.064,RIGHT,False,Movement validated
2026-03-03T11:33:45,80.778,palm,0.092,LEFT,False,Movement validated
2026-03-03T11:33:47,83.671,palm,0.182,RIGHT,False,Movement validated
2026-03-03T11:33:49,85.056,palm,0.104,LEFT,False,Movement validated
2026-03-03T11:33:50,86.406,palm,0.08,RIGHT,False,Movement validated
2026-03-03T11:33:53,88.832,palm,0.127,LEFT,False,Movement validated
2026-03-03T11:34:04,100.035,palm,0.088,LEFT,False,Movement validated
2026-03-03T11:34:08,104.53,palm,0.13,RIGHT,False,Movement validated
2026-03-03T11:35:59,214.729,palm,0.042,LEFT,False,Movement validated
2026-03-03T11:36:36,251.736,palm,0.003,RIGHT,False,Movement validated
2026-03-03T11:36:49,264.869,palm,0.007,LEFT,False,Movement validated
2026-03-03T11:36:50,266.292,palm,0.017,LEFT,False,Movement validated
2026-03-03T11:36:54,270.41,palm,0.047,LEFT,False,Movement validated
2026-03-03T11:37:08,283.719,palm,0.044,LEFT,False,Movement validated
2026-03-03T11:37:11,286.801,palm,0.083,LEFT,False,Movement validated
2026-03-03T11:37:11,287.543,palm,0.073,LEFT,False,Movement validated
2026-03-03T11:37:16,292.504,palm,0.151,RIGHT,False,Movement validated
2026-03-03T11:37:18,294.196,palm,0.028,LEFT,False,Movement validated
2026-03-03T11:37:18,294.456,palm,0.076,LEFT,False,Movement validated
2026-03-03T11:37:20,296.187,palm,0.078,RIGHT,False,Movement validated
2026-03-03T11:37:31,307.107,palm,0.064,LEFT,False,Movement validated
2026-03-03T11:37:35,311.316,palm,0.01,LEFT,False,Movement validated
2026-03-03T11:37:37,312.816,palm,0.031,RIGHT,False,Movement validated
2026-03-03T11:37:56,332.01,palm,0.085,RIGHT,False,Movement validated
2026-03-03T11:39:45,441.107,palm,0.016,RIGHT,False,Movement validated
2026-03-03T11:39:47,443.679,palm,0.033,RIGHT,False,Movement validated
2026-03-03T11:40:11,466.792,palm,0.116,LEFT,False,Movement validated
2026-03-03T11:40:13,469.32,palm,0.028,LEFT,False,Movement validated
2026-03-03T11:40:30,485.873,palm,0.008,RIGHT,False,Movement validated
2026-03-03T11:40:32,488.243,palm,0.128,LEFT,False,Movement validated
2026-03-03T11:40:36,491.916,palm,0.001,LEFT,False,Movement validated
2026-03-03T11:40:42,497.748,palm,0.102,RIGHT,False,Movement validated
2026-03-03T11:40:42,497.974,palm,0.035,RIGHT,False,Movement validated
2026-03-03T11:41:11,527.604,palm,0.026,RIGHT,False,Movement validated
2026-03-03T11:41:12,528.033,palm,0.164,RIGHT,False,Movement validated
2026-03-03T11:41:14,530.031,palm,0.023,LEFT,False,Movement validated
