timestamp,event_type,hand_detected,orientation,confidence,gesture_type,is_ghost_frame,notes
1776066203.1489663,SESSION_START,False,,0.00,,False,det=0.3 trk=0.3
1776066213.0926108,LOCK_SET,True,,0.00,,False,"wrist=(0.850,1.060)"
1776066213.7382395,LASER_FRAME,True,palm,0.63,LASER,False,
1776066214.2598405,LASER_FRAME,True,palm,0.45,LASER,False,
1776066214.2863698,LASER_FRAME,True,palm,0.44,LASER,False,
1776066214.364255,LASER_FRAME,True,palm,0.46,LASER,False,
1776066214.4198916,LASER_FRAME,True,palm,0.51,LASER,False,
1776066214.4550679,LASER_FRAME,True,palm,0.51,LASER,False,
1776066214.5233152,LASER_FRAME,True,palm,0.52,LASER,False,
1776066214.5558543,LASER_FRAME,True,palm,0.49,LASER,False,
1776066214.638804,LASER_FRAME,True,palm,0.51,LASER,False,
1776066214.688443,LASER_FRAME,True,palm,0.52,LASER,False,
1776066214.7311213,LASER_FRAME,True,palm,0.51,LASER,False,
1776066214.7634256,LASER_FRAME,True,palm,0.52,LASER,False,
1776066214.8261747,LASER_FRAME,True,palm,0.48,LASER,False,
1776066214.903192,LASER_FRAME,True,palm,0.50,LASER,False,
1776066214.959414,LASER_FRAME,True,palm,0.50,LASER,False,
1776066215.039753,LASER_FRAME,True,palm,0.51,LASER,False,
1776066215.0934556,LASER_FRAME,True,palm,0.49,LASER,False,
1776066215.1291056,LASER_FRAME,True,palm,0.51,LASER,False,
1776066215.175055,LASER_FRAME,True,palm,0.55,LASER,False,
1776066215.2133107,LASER_FRAME,True,palm,0.55,LASER,False,
1776066215.245821,LASER_FRAME,True,palm,0.57,LASER,False,
1776066215.2839463,LASER_FRAME,True,palm,0.54,LASER,False,
1776066216.9017217,LASER_FRAME,True,palm,0.58,LASER,False,
1776066216.9573445,LASER_FRAME,True,palm,0.58,LASER,False,
1776066216.9935791,LASER_FRAME,True,palm,0.58,LASER,False,
1776066217.1648092,LASER_FRAME,True,palm,0.47,LASER,False,
1776066217.1906633,LASER_FRAME,True,palm,0.46,LASER,False,
1776066217.3183005,LASER_FRAME,True,palm,0.45,LASER,False,
1776066217.3385992,LASER_FRAME,True,palm,0.44,LASER,False,
1776066217.4158516,LASER_FRAME,True,palm,0.44,LASER,False,
1776066217.4376395,LASER_FRAME,True,palm,0.45,LASER,False,
1776066217.563723,LASER_FRAME,True,palm,0.45,LASER,False,
1776066217.6205258,LASER_FRAME,True,palm,0.45,LASER,False,
1776066217.699909,LASER_FRAME,True,palm,0.44,LASER,False,
1776066217.7280247,LASER_FRAME,True,palm,0.45,LASER,False,
1776066217.7606943,LASER_FRAME,True,palm,0.44,LASER,False,
1776066217.8456864,LASER_FRAME,True,palm,0.45,LASER,False,
1776066217.8777258,LASER_FRAME,True,palm,0.44,LASER,False,
1776066217.9215746,LASER_FRAME,True,palm,0.44,LASER,False,
1776066217.9671435,LASER_FRAME,True,palm,0.44,LASER,False,
1776066218.012591,LASER_FRAME,True,palm,0.42,LASER,False,
1776066218.0641289,LASER_FRAME,True,palm,0.43,LASER,False,
1776066221.0165186,FIST_ZOOM_ON,True,palm,0.45,FIST,False,
1776066222.8008547,LASER_FRAME,True,palm,0.26,LASER,False,
1776066222.9051604,LASER_FRAME,True,palm,0.41,LASER,False,
1776066223.0003638,LASER_FRAME,True,palm,0.46,LASER,False,
1776066223.0839446,LASER_FRAME,True,palm,0.53,LASER,False,
1776066223.1901836,LASER_FRAME,True,palm,0.55,LASER,False,
1776066223.2935886,LASER_FRAME,True,palm,0.53,LASER,False,
1776066223.4241147,LASER_FRAME,True,palm,0.56,LASER,False,
1776066223.568078,LASER_FRAME,True,palm,0.55,LASER,False,
1776066223.6896613,LASER_FRAME,True,palm,0.55,LASER,False,
1776066223.81414,LASER_FRAME,True,palm,0.55,LASER,False,
1776066223.91711,LASER_FRAME,True,palm,0.56,LASER,False,
1776066224.0143917,LASER_FRAME,True,palm,0.49,LASER,False,
1776066224.1087618,LASER_FRAME,True,palm,0.49,LASER,False,
1776066224.2275755,LASER_FRAME,True,palm,0.53,LASER,False,
1776066224.3118186,LASER_FRAME,True,palm,0.50,LASER,False,
