timestamp,elapsed_seconds,orientation,orientation_confidence,swipe_direction,is_ghost_frame,notes
2026-03-02T10:55:43,84.772,back-hand,0.033,RIGHT,False,Movement validated
2026-03-02T10:55:45,87.447,back-hand,0.023,LEFT,False,Movement validated
2026-03-02T10:55:50,92.396,back-hand,0.059,LEFT,False,Movement validated
2026-03-02T10:56:01,103.051,back-hand,0.031,LEFT,False,Movement validated
2026-03-02T10:56:42,143.921,back-hand,0.082,RIGHT,False,Movement validated
2026-03-02T10:56:43,144.775,back-hand,0.039,LEFT,False,Movement validated
2026-03-02T10:56:46,147.67,back-hand,0.166,LEFT,False,Movement validated
2026-03-02T10:56:46,148.404,back-hand,0.08,RIGHT,False,Movement validated
2026-03-02T10:56:51,153.003,back-hand,0.089,RIGHT,False,Movement validated
2026-03-02T10:56:54,155.691,back-hand,0.054,RIGHT,False,Movement validated
2026-03-02T10:57:05,166.808,back-hand,0.017,LEFT,False,Movement validated
2026-03-02T10:57:07,169.302,back-hand,0.021,RIGHT,False,Movement validated
2026-03-02T10:57:08,169.701,back-hand,0.073,LEFT,False,Movement validated
2026-03-02T10:57:15,176.689,back-hand,0.092,LEFT,False,Movement validated
2026-03-02T10:57:15,176.944,back-hand,0.068,LEFT,False,Movement validated
2026-03-02T10:57:19,180.717,back-hand,0.13,LEFT,False,Movement validated
2026-03-02T10:57:19,181.358,back-hand,0.206,RIGHT,False,Movement validated
2026-03-02T10:57:20,181.665,back-hand,0.226,LEFT,False,Movement validated
2026-03-02T10:57:22,184.373,back-hand,0.118,LEFT,False,Movement validated
2026-03-02T10:57:23,185.246,back-hand,0.181,RIGHT,False,Movement validated
2026-03-02T10:57:24,186.24,back-hand,0.198,RIGHT,False,Movement validated
2026-03-02T10:57:26,187.684,back-hand,0.216,RIGHT,False,Movement validated
2026-03-02T10:57:27,189.258,back-hand,0.203,RIGHT,False,Movement validated
2026-03-02T10:57:29,190.987,back-hand,0.082,RIGHT,False,Movement validated
2026-03-02T10:57:31,192.692,back-hand,0.179,RIGHT,False,Movement validated
2026-03-02T10:57:32,194.086,back-hand,0.342,RIGHT,False,Movement validated
2026-03-02T10:57:35,197.195,back-hand,0.227,LEFT,False,Movement validated
2026-03-02T10:57:37,198.738,back-hand,0.101,RIGHT,False,Movement validated
2026-03-02T10:57:38,200.033,back-hand,0.042,LEFT,False,Movement validated
2026-03-02T10:57:40,201.626,back-hand,0.095,LEFT,False,Movement validated
2026-03-02T10:57:45,207.307,back-hand,0.081,LEFT,False,Movement validated
2026-03-02T10:57:59,220.992,palm,0.108,RIGHT,False,Movement validated
